var_WTI,skewness_WTI,curtosis_WTI,entropy_image,classLabel,id
1.04,-6.9321,8.2888,-1.2991,0,p168
2.0051,-6.8638,8.132,-0.2401,0,p12
2.3678,-6.8389999999999995,8.4207,-0.44828999999999997,0,p93
1.8238,-6.7748,8.3873,-0.5413899999999999,0,p79
1.8216,-6.4748,8.0514,-0.41855,0,p249
2.1526,-6.1665,8.0831,-0.34355,0,p146
1.5268,-5.5871,8.6564,-1.722,0,p101
3.7569999999999997,-5.4236,3.8255,-1.2526,0,p139
4.3398,-5.3036,3.8803,-0.70432,0,p95
3.1541,-5.1711,6.5991,0.57455,0,p263
2.2517,-5.1422,4.2916,-1.2487,0,p81
4.3846,-4.8794,3.3662,-0.029324,0,p68
4.65,-4.8297,3.4553,-0.25174,0,p217
2.6463,-4.8152,6.3549,0.003003,0,p64
4.1038,-4.8069,3.3491,-0.49225,0,p55
3.8962,-4.7904,3.3954,-0.53751,0,p87
1.9476,-4.7738,8.527000000000001,-1.8668,0,p45
2.9571,-4.5938,5.9068,0.57196,0,p161
1.7257,-4.4697,8.2219,-1.8073,0,p221
3.4626,-4.449,3.5427,0.15429,0,p130
3.0672,-4.4117,3.8238,-0.81682,0,p63
2.5698,-4.4076,5.9856,0.078002,0,p4
4.0422,-4.391,4.7466,1.137,0,p260
3.3577,-4.3062,6.0241,0.18274,0,p163
3.4819999999999998,-4.1634,3.5008,-0.078462,0,p180
2.2429,-4.1427,5.2333,-0.40173000000000003,0,p191
3.3756,-4.0951,4.367,1.0698,0,p6
3.6941,-3.9482,4.2625,1.1577,0,p142
3.4647,-3.9172,3.9746,0.36119,0,p57
3.7321,-3.884,3.3577,-0.0060486,0,p192
3.6181,-3.7454,2.8273,-0.71208,0,p235
3.2403,-3.7082,5.2804,0.41291000000000005,0,p208
3.7522,-3.6978,3.9943,1.3051,0,p212
4.3365,-3.5839999999999996,3.6884,0.74912,0,p193
4.6439,-3.3729,2.5976,0.55257,0,p162
3.0242,-3.3378,2.5865,-0.54785,0,p199
3.0632,-3.3315,5.1305,0.8267,0,p1
3.7798,-3.3109,2.6491,0.066365,0,p173
0.51947,-3.2633,3.0895,-0.98492,0,p181
0.5195,-3.2633,3.0895,-0.9849,0,p226
3.8244,-3.1081,2.4537,0.5202399999999999,0,p243
4.364,-3.1039,2.3757,0.78532,0,p215
3.5862,-3.0957,2.8093,0.24481,0,p251
3.8846,-3.0336,2.5334,0.20214000000000001,0,p149
4.6352,-3.0087,2.6773,1.212,0,p100
4.0948,-2.9674,2.3689,0.75429,0,p135
3.9292,-2.9156,2.2129,0.30817,0,p109
4.2756,-2.6528,2.1375,0.94437,0,p170
2.3164,-2.628,3.1529,-0.08622,0,p182
3.0333,-2.5928,2.3183,0.303,0,p154
1.8967,-2.5163,2.8093,-0.79742,0,p145
4.2406,-2.4852,1.608,0.7155,0,p28
4.4295,-2.3507,1.7048,0.90946,0,p143
2.1319,-2.0403,2.5574,-0.061652,0,p33
-0.048007999999999995,-1.6037,8.4756,0.75558,0,p7
-0.45061999999999997,-1.3678,7.0858,-0.40303,0,p231
-0.38388,-1.0471,8.0514,0.49567,0,p159
2.1752,-0.8091,5.1022,-0.67975,0,p88
1.7748,-0.76978,5.5854,1.3039,0,p229
-0.10647999999999999,-0.76771,7.7575,0.64179,0,p47
-0.33729000000000003,-0.64976,7.6659,0.72326,0,p71
-0.048007999999999995,-0.5607800000000001,7.7215,0.45299999999999996,0,p177
5.0429,-0.52974,0.50439,1.1059999999999999,0,p132
4.1665,-0.4449,0.23448000000000002,0.27843,0,p150
5.0617,-0.35799000000000003,0.44698000000000004,0.9986799999999999,0,p18
2.0165,-0.25246,5.1707,1.0763,0,p69
0.7225199999999999,-0.053811000000000005,5.6703,-1.3509,0,p48
5.1321,-0.031048000000000003,0.32616,1.1151,0,p152
0.5706,-0.024841,1.2421,-0.56208,0,p178
0.5706,-0.0248,1.2421,-0.5621,0,p8
0.5706,-0.0248,1.2421,-0.5621,0,p201
0.85574,0.0082678,6.6042,-0.53104,0,p258
-0.9592299999999999,0.091039,6.2204,-1.4828,0,p239
2.3969,0.23589000000000002,4.8477,1.4369999999999998,0,p264
4.9294,0.27726999999999996,0.20792,0.33662,0,p13
5.2012,0.32694,0.17965,1.1797,0,p230
3.9772,0.33521,2.2566,2.1625,0,p50
0.74054,0.36625,2.1992,0.48403,0,p204
4.0552,0.40143,1.4563,0.6534300000000001,0,p92
3.2414,0.40971,1.4015,1.1952,0,p270
2.0153,0.43661000000000005,4.5864,-0.3151,0,p137
4.3634,0.46351000000000003,1.4281,2.0202,0,p179
4.0405,0.5152399999999999,1.0279,1.1059999999999999,0,p67
0.8829799999999999,0.66009,6.0096,-0.43277,0,p259
2.7659,0.6621600000000001,4.1494,-0.28406,0,p46
4.9249,0.68906,0.77344,1.2095,0,p123
0.37984,0.70975,0.75716,-0.44441,0,p238
3.5288,0.71596,1.9507,1.9375,0,p59
3.5251,0.7201,1.6928,0.6443800000000001,0,p138
2.0193,0.8235600000000001,4.6369,1.4202,0,p74
1.2262,0.89599,5.7568,-0.11596,0,p176
