topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,year,classLabel,id
0.0500117615,0.050000000700000005,0.050000000700000005,0.050000000700000005,0.050000000700000005,0.050000000700000005,0.5499799848,0.050000000700000005,0.050000000700000005,0.0500082374,2001,5,<18782981.1075855378110.JavaMail.evans@thyme>
0.1503466964,0.0879824832,0.0419102907,0.049968738099999986,0.0946362689,0.0273283981,0.1572608352,0.0415606201,0.2731197178,0.0758859739,2001,5,<15464986.1075855378456.JavaMail.evans@thyme>
0.020004218400000003,0.0200038012,0.8199726939,0.0200017914,0.0200008731,0.0200002883,0.0200019907,0.0200018995,0.0200082213,0.020004252,2000,10,<24216240.1075855687451.JavaMail.evans@thyme>
0.1338668913,0.0,0.0,0.0,0.189506501,0.0,0.0,0.0,0.23941192030000005,0.4019057453,2000,10,<13505866.1075863688222.JavaMail.evans@thyme>
0.025019167,0.2749884129,0.025001397400000003,0.0250000004,0.0250013098,0.0250000004,0.0250104573,0.5249628425,0.0250156391,0.025000805,2000,8,<30922949.1075863688243.JavaMail.evans@thyme>
0.0142905153,0.014288106,0.0142872576,0.0142858569,0.5077387095,0.0142862964,0.0142940236,0.0142971128,0.0142880026,0.3779441118,2000,8,<30965995.1075863688265.JavaMail.evans@thyme>
0.0500094071,0.050000000700000005,0.050000000700000005,0.050000000700000005,0.050000000700000005,0.050000000700000005,0.0500025898,0.050000000700000005,0.5499880314,0.050000000700000005,2000,7,<17189699.1075863688308.JavaMail.evans@thyme>
0.0,0.0,0.0,0.0,0.0,0.0,0.3580903411,0.2066773027,0.1734485179,0.2217801958,2000,10,<20641191.1075855687472.JavaMail.evans@thyme>
0.196921438,0.07620604339999999,0.053109243499999986,0.0,0.1934142262,0.0337337926,0.0,0.0719827116,0.27579391,0.0976823419,2000,10,<30795301.1075855687494.JavaMail.evans@thyme>
0.133608073,0.17590864,0.18024417760000006,0.0,0.0,0.0,0.1759575307,0.0,0.3092775047,0.0,2000,10,<33076797.1075855687515.JavaMail.evans@thyme>
0.3318742514,0.1708278805,0.132838577,0.0,0.0442961678,0.0,0.3009277582,0.0,0.0,0.0,2000,10,<25459584.1075855687536.JavaMail.evans@thyme>
0.3071085513,0.0531551987,0.1209441125,0.0107665611,0.1599183977,0.010248688,0.0986989141,0.0245590694,0.1154153571,0.0991850868,2000,10,<13116875.1075855687561.JavaMail.evans@thyme>
0.3071112931,0.0531546623,0.1209438816,0.0107665993,0.1599190384,0.0102480901,0.098697789,0.0245589707,0.1154121831,0.0991874859,2000,10,<2707340.1075855687584.JavaMail.evans@thyme>
0.4762865007,0.0,0.0,0.1021597162,0.2575167418,0.0,0.1094854623,0.0,0.0,0.0,2000,10,<2465689.1075855687605.JavaMail.evans@thyme>
0.5441077352,0.2958777547,0.0200003497,0.0200001318,0.0200064592,0.0200007912,0.0200002231,0.0200000741,0.0200055279,0.0200009923,2000,10,<1115198.1075855687626.JavaMail.evans@thyme>
0.4537046552,0.1650653481,0.0771507546,0.0107393395,0.094473727,0.0,0.0247240085,0.0,0.1321895421,0.0402280577,2000,10,<19773657.1075855687649.JavaMail.evans@thyme>
0.5987682939,0.0,0.0,0.0,0.1275903285,0.0,0.0,0.0,0.1501335949,0.0860009566,2001,5,<7391389.1075855378477.JavaMail.evans@thyme>
0.3113689423,0.0781264529,0.0528564416,0.0,0.1407360882,0.0273123942,0.0247047171,0.0481333919,0.2274695933,0.0885827169,2000,10,<12759088.1075855687671.JavaMail.evans@thyme>
0.4588496983,0.2113670409,0.083836779,0.016047284,0.0739666075,0.0,0.0,0.0,0.1505983323,0.0,2000,10,<29177675.1075855687692.JavaMail.evans@thyme>
0.5102322697999999,0.0,0.0,0.0,0.0,0.0,0.3405360281,0.0,0.1025601923,0.0,2000,10,<24729148.1075855687713.JavaMail.evans@thyme>
0.016676565600000002,0.0166667979,0.0166681875,0.0166666675,0.0166666675,0.0166675579,0.0166681316,0.1833322346,0.5150901675,0.1848970056,2000,10,<17610321.1075855687735.JavaMail.evans@thyme>
